epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5641,1.51981,2.41835,1.76183,0.52831,0.02359,0.34331,0.15783,1.48385,3.0357,2.12339,0.000649573,0.000649573,0.000649573
2,40.9856,1.46235,1.92138,1.69908,0.32829,0.52083,0.28585,0.08937,2.04731,3.62079,3.21236,0.00130972,0.00130972,0.00130972
3,61.2516,1.53113,1.8149,1.76332,0.11766,0.22917,0.09591,0.03,2.48885,3.38547,3.64015,0.00196328,0.00196328,0.00196328
4,81.4914,1.64574,1.83827,1.82308,0.15043,0.46528,0.10623,0.02404,2.67185,4.14189,3.39579,0.0019703,0.0019703,0.0019703
5,101.682,1.5711,1.60188,1.75328,0.62219,0.45833,0.45467,0.12356,2.41483,3.22281,3.20594,0.0019604,0.0019604,0.0019604
6,121.956,1.54839,1.53741,1.76151,0.34166,0.61111,0.34517,0.1197,2.22933,3.25065,3.1973,0.0019505,0.0019505,0.0019505
7,142.182,1.48454,1.42864,1.66883,0.75757,0.48611,0.6462,0.34222,1.85665,2.1081,2.57802,0.0019406,0.0019406,0.0019406
8,162.444,1.49813,1.39871,1.66225,0.5399,0.34226,0.40923,0.12096,2.01384,2.23604,2.66906,0.0019307,0.0019307,0.0019307
9,182.663,1.53863,1.35911,1.71664,0.63708,0.77778,0.71559,0.34457,1.99058,1.61409,2.62734,0.0019208,0.0019208,0.0019208
10,202.92,1.485,1.29864,1.69935,0.35558,0.36806,0.29074,0.0584,2.85125,2.39235,4.03922,0.0019109,0.0019109,0.0019109
11,223.125,1.49397,1.28021,1.68927,0.5261,0.44444,0.4272,0.10006,2.7869,1.99423,3.10325,0.001901,0.001901,0.001901
12,243.835,1.51664,1.23958,1.66927,0.77309,0.72917,0.78817,0.40723,1.80317,1.32772,2.24385,0.0018911,0.0018911,0.0018911
13,264.57,1.40637,1.13354,1.61406,0.73296,0.60417,0.67029,0.29672,1.84636,1.53656,2.36823,0.0018812,0.0018812,0.0018812
14,285.318,1.48071,1.21263,1.66565,0.58147,0.40278,0.44507,0.17771,2.10271,2.04895,2.4431,0.0018713,0.0018713,0.0018713
15,305.527,1.39697,1.14654,1.59944,0.5146,0.48611,0.38,0.08467,2.74216,1.84429,3.50934,0.0018614,0.0018614,0.0018614
16,325.758,1.40512,1.16742,1.60811,0.87184,0.75,0.85094,0.4333,1.80143,1.27024,2.39223,0.0018515,0.0018515,0.0018515
17,346.013,1.38276,1.12054,1.5964,0.68166,0.84722,0.8157,0.41162,1.75267,1.24791,2.26615,0.0018416,0.0018416,0.0018416
18,366.294,1.38438,1.1032,1.57975,0.7477,0.75,0.83878,0.47588,1.50643,1.19971,2.0558,0.0018317,0.0018317,0.0018317
19,386.56,1.37144,1.07446,1.58063,0.72655,0.70833,0.77471,0.3786,1.72573,1.46724,2.29947,0.0018218,0.0018218,0.0018218
20,406.817,1.40136,1.07912,1.57943,0.52866,0.38194,0.39674,0.16465,2.15939,2.20524,2.74853,0.0018119,0.0018119,0.0018119
21,427.068,1.32346,1.03804,1.55355,0.39059,0.58333,0.40621,0.15802,1.93516,2.00278,2.40988,0.001802,0.001802,0.001802
22,447.356,1.26929,0.97378,1.48705,0.67039,0.62147,0.63752,0.33411,1.76471,1.68623,2.20473,0.0017921,0.0017921,0.0017921
23,467.59,1.32706,1.01273,1.54034,0.71819,0.59722,0.74975,0.30954,1.886,1.47399,2.50241,0.0017822,0.0017822,0.0017822
24,487.84,1.29701,1.01555,1.53776,0.89131,0.71528,0.83591,0.48142,1.59916,1.33188,2.14547,0.0017723,0.0017723,0.0017723
25,508.085,1.30724,1.01248,1.52406,0.78024,0.84722,0.87801,0.47288,1.58576,1.11228,2.10334,0.0017624,0.0017624,0.0017624
26,528.338,1.32652,0.97111,1.55804,0.8321,0.83333,0.88767,0.48669,1.65652,1.10322,2.15746,0.0017525,0.0017525,0.0017525
27,548.811,1.33795,0.95332,1.5361,0.9025,0.77137,0.89518,0.38693,1.89372,1.19297,2.44898,0.0017426,0.0017426,0.0017426
28,569.205,1.37875,0.99663,1.56419,0.94605,0.73611,0.88672,0.4783,1.70587,1.11395,2.19345,0.0017327,0.0017327,0.0017327
29,589.43,1.28443,0.91044,1.50925,0.86591,0.76236,0.8693,0.49238,1.59807,1.07854,2.09377,0.0017228,0.0017228,0.0017228
30,609.675,1.32538,0.96953,1.52627,0.60145,0.71528,0.67713,0.24413,1.94354,1.40638,2.48348,0.0017129,0.0017129,0.0017129
31,629.885,1.30752,0.91965,1.52906,0.82837,0.77091,0.83029,0.47809,1.60357,1.12426,2.187,0.001703,0.001703,0.001703
32,650.118,1.22595,0.92105,1.47062,0.79599,0.81287,0.82971,0.44792,1.68155,1.11005,2.24126,0.0016931,0.0016931,0.0016931
33,670.369,1.29605,0.89154,1.51107,0.79127,0.84722,0.87193,0.48447,1.6333,1.08116,2.14397,0.0016832,0.0016832,0.0016832
34,690.605,1.25955,0.91937,1.45952,0.72705,0.73611,0.8015,0.46454,1.63951,1.25544,2.10602,0.0016733,0.0016733,0.0016733
35,710.802,1.28087,0.90957,1.47113,0.87782,0.64865,0.82438,0.45861,1.6733,1.25087,2.18109,0.0016634,0.0016634,0.0016634
36,731.042,1.24203,0.90562,1.45278,0.71146,0.85417,0.84583,0.46852,1.68398,1.09841,2.18183,0.0016535,0.0016535,0.0016535
37,751.286,1.21366,0.87516,1.43579,0.82424,0.87933,0.90753,0.50614,1.64723,1.03194,2.20076,0.0016436,0.0016436,0.0016436
