epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8118,1.62132,2.56155,1.86685,0.00315,0.9685,0.68623,0.23179,1.67536,3.23437,2.2637,0.00044,0.00044,0.00044
2,38.084,1.38955,1.87366,1.66492,0.18533,0.09139,0.10017,0.02557,2.95828,3.84403,3.65172,0.00088218,0.00088218,0.00088218
3,56.329,1.44566,1.77987,1.70104,0.47945,0.5947,0.57394,0.2143,2.24708,2.90203,3.14579,0.00130614,0.00130614,0.00130614
4,74.5158,1.51802,1.70079,1.74189,0.148,0.07087,0.02173,0.00406,3.7847,3.48893,4.21077,0.00171189,0.00171189,0.00171189
5,92.6581,1.48517,1.61552,1.72153,0.13909,0.19685,0.04447,0.01183,3.56945,5.95471,4.49157,0.0018416,0.0018416,0.0018416
6,110.806,1.47743,1.5365,1.69341,0.11458,0.26772,0.07072,0.02067,2.23669,3.13365,2.87633,0.001802,0.001802,0.001802
7,128.96,1.42617,1.42246,1.6362,0.40594,0.33071,0.24929,0.06417,2.3623,3.75328,2.95767,0.0017624,0.0017624,0.0017624
8,147.096,1.45264,1.38409,1.64222,0.72617,0.6891,0.72327,0.2226,2.0018,1.75657,2.5697,0.0017228,0.0017228,0.0017228
9,165.186,1.54368,1.44834,1.70817,0.69896,0.71303,0.73613,0.33771,1.69589,1.78167,2.301,0.0016832,0.0016832,0.0016832
10,183.296,1.39151,1.29673,1.6283,0.58184,0.55876,0.50798,0.13737,2.79413,1.9924,3.90037,0.0016436,0.0016436,0.0016436
11,201.442,1.42347,1.24445,1.64454,0.66382,0.73228,0.74802,0.41478,1.84269,1.65284,2.32074,0.001604,0.001604,0.001604
12,219.6,1.31322,1.12286,1.53426,0.65654,0.65354,0.67108,0.2269,2.0611,1.84421,2.76883,0.0015644,0.0015644,0.0015644
13,237.715,1.34211,1.15658,1.5657,0.40395,0.51181,0.41714,0.09186,2.30141,2.17926,3.04512,0.0015248,0.0015248,0.0015248
14,255.846,1.35632,1.09415,1.56516,0.60699,0.74016,0.70763,0.35543,1.74556,1.5595,2.26664,0.0014852,0.0014852,0.0014852
15,273.983,1.36101,1.08439,1.57462,0.72242,0.64567,0.67749,0.28826,2.03479,1.65554,2.51788,0.0014456,0.0014456,0.0014456
16,292.119,1.33937,1.07682,1.55055,0.85202,0.81608,0.88715,0.4967,1.54562,1.06481,2.07275,0.001406,0.001406,0.001406
17,310.246,1.35671,1.06338,1.57198,0.87548,0.7874,0.86865,0.50323,1.45455,1.11129,2.04216,0.0013664,0.0013664,0.0013664
18,328.394,1.25003,0.99007,1.47595,0.98808,0.65296,0.84466,0.50336,1.67269,1.41014,2.14648,0.0013268,0.0013268,0.0013268
19,346.535,1.27742,1.02389,1.51232,0.93435,0.67242,0.73895,0.35456,2.13369,2.09107,2.56605,0.0012872,0.0012872,0.0012872
20,364.653,1.25193,0.96728,1.4872,0.84316,0.83465,0.87058,0.46538,1.59877,1.04096,2.1677,0.0012476,0.0012476,0.0012476
21,382.748,1.27684,0.95834,1.49929,0.67322,0.61644,0.69304,0.27974,1.96241,1.37998,2.35492,0.001208,0.001208,0.001208
22,400.867,1.2783,0.91203,1.50638,0.89383,0.74016,0.81211,0.42431,1.6962,1.23644,2.2173,0.0011684,0.0011684,0.0011684
23,418.988,1.20976,0.91621,1.44894,0.94652,0.69679,0.80768,0.42848,1.56963,1.23481,2.08927,0.0011288,0.0011288,0.0011288
24,437.106,1.23249,0.89748,1.46965,0.79435,0.72441,0.76983,0.3901,1.85594,1.40296,2.36339,0.0010892,0.0010892,0.0010892
25,455.178,1.21363,0.9046,1.4652,0.89826,0.69525,0.83231,0.48582,1.6879,1.25751,2.1733,0.0010496,0.0010496,0.0010496
26,473.279,1.19182,0.89789,1.44206,0.87437,0.82203,0.8858,0.4952,1.50068,0.94455,2.10407,0.00101,0.00101,0.00101
27,491.412,1.16987,0.85287,1.42074,0.90487,0.8189,0.89673,0.51946,1.56785,1.05779,1.98936,0.0009704,0.0009704,0.0009704
28,509.602,1.18249,0.82988,1.43801,0.95128,0.76871,0.88779,0.52852,1.43466,0.96358,1.93915,0.0009308,0.0009308,0.0009308
29,527.778,1.16646,0.83006,1.41361,0.79724,0.74305,0.78159,0.31656,1.8248,1.37751,2.25713,0.0008912,0.0008912,0.0008912
30,545.955,1.14519,0.77305,1.40649,0.94743,0.7874,0.91194,0.552,1.4762,0.80394,1.98109,0.0008516,0.0008516,0.0008516
31,564.169,1.2157,0.82472,1.45548,0.89386,0.85039,0.92069,0.57305,1.44709,0.8826,1.9586,0.000812,0.000812,0.000812
32,582.354,1.15019,0.76617,1.40077,0.89951,0.8189,0.9195,0.55857,1.32534,0.90928,1.83843,0.0007724,0.0007724,0.0007724
33,600.518,1.12153,0.76825,1.38021,0.96399,0.84307,0.9247,0.51595,1.54525,0.98847,2.03609,0.0007328,0.0007328,0.0007328
34,618.696,1.08893,0.71308,1.3797,0.88399,0.85827,0.91755,0.54221,1.41824,0.88518,1.9475,0.0006932,0.0006932,0.0006932
35,636.88,1.08197,0.7374,1.35927,0.73679,0.89764,0.87772,0.48987,1.57524,1.04287,2.0198,0.0006536,0.0006536,0.0006536
36,655.068,1.0833,0.74271,1.35666,0.89362,0.86614,0.90418,0.50562,1.40962,0.84247,1.90793,0.000614,0.000614,0.000614
37,673.224,1.10396,0.71913,1.36462,0.9169,0.87402,0.93284,0.5774,1.3831,0.81579,1.86185,0.0005744,0.0005744,0.0005744
38,691.433,1.08556,0.68966,1.36192,0.8726,0.88189,0.9311,0.51702,1.59114,0.88859,2.10918,0.0005348,0.0005348,0.0005348
39,709.62,1.07351,0.70894,1.34597,0.86986,0.84209,0.90288,0.55253,1.56488,0.89791,2.06198,0.0004952,0.0004952,0.0004952
40,727.776,1.09003,0.70165,1.3625,0.88507,0.84894,0.92418,0.56494,1.41926,0.86627,1.88746,0.0004556,0.0004556,0.0004556
41,747.301,0.94166,0.65785,1.4164,0.86781,0.87881,0.92132,0.53573,1.52254,0.85142,1.98243,0.000416,0.000416,0.000416
42,765.458,0.96021,0.60679,1.41247,0.94038,0.8189,0.92058,0.57752,1.33773,0.812,1.83753,0.0003764,0.0003764,0.0003764
43,783.581,0.92328,0.57929,1.41023,0.9176,0.82677,0.91434,0.58015,1.29019,0.79835,1.82948,0.0003368,0.0003368,0.0003368
44,801.726,0.91175,0.53016,1.38528,0.88348,0.89551,0.90975,0.57868,1.29576,0.7973,1.85023,0.0002972,0.0002972,0.0002972
45,819.84,0.84116,0.51753,1.32154,0.89243,0.86614,0.91052,0.57065,1.35128,0.80681,1.897,0.0002576,0.0002576,0.0002576
46,837.952,0.86307,0.51472,1.36884,0.93622,0.80906,0.90213,0.57166,1.33219,0.84506,1.84775,0.000218,0.000218,0.000218
47,856.065,0.84897,0.49979,1.34118,0.89764,0.82865,0.89627,0.57814,1.33891,0.82859,1.86902,0.0001784,0.0001784,0.0001784
48,874.179,0.81635,0.48078,1.31111,0.93854,0.84171,0.89617,0.57538,1.34694,0.81978,1.86657,0.0001388,0.0001388,0.0001388
49,892.301,0.81194,0.48665,1.29969,0.95015,0.83465,0.89916,0.57533,1.34401,0.8277,1.86242,9.92e-05,9.92e-05,9.92e-05
50,910.416,0.82148,0.47047,1.29729,0.9545,0.82599,0.9069,0.5764,1.32828,0.81541,1.84797,5.96e-05,5.96e-05,5.96e-05
